# country	iso	population	continents (P30, raw)	capitals (P36)
Q229	CY	1344976	Q46	Q3856
Q1027	MU	1264613	Q15	Q3929
Q1050	SZ	1230506	Q15	Q3904|Q101418
Q977	DJ	1152944	Q15	Q3604
Q712	FJ	926276	Q538	Q38807
Q970	KM	902348	Q15	Q3901
Q734	GY	878674	Q18	Q10717
Q917	BT	787424	Q48	Q9270
Q32	LU	690959	Q46	Q1842
Q236	ME	617213	Q46	Q23564
Q685	SB	611343	Q538|Q55643	Q40921
Q730	SR	563402	Q18	Q3001
Q1011	CV	555988	Q15	Q3751
Q233	MT	553214	Q46	Q23800
Q921	BN	458949	Q48	Q9279
Q826	MV	436330	Q48	Q9347
Q242	BZ	411106	Q49	Q3043
Q778	BS	399440	Q49	Q2467
Q189	IS	364260	Q46	Q1764
Q244	BB	303431	Q49	Q36168
Q686	VU	300019	Q538	Q37806
Q1039	ST	204327	Q15	Q3932
Q683	WS	200010	Q55643	Q36260
Q760	LC	167591	Q49	Q41699
Q710	KI	134518	Q538|Q55643	Q131233
Q1042	SC	119773	Q15	Q3940
Q769	GD	114299	Q49	Q41547
Q757	VC	109897	Q49	Q41474
Q678	TO	108020	Q55643	Q38834
Q781	AG	101489	Q49	Q36262
Q228	AD	89752	Q46	Q1863
Q702	FM	75817	Q55643	Q42751
Q784	DM	74656	Q49	Q36281
Q709	MH	53127	Q55643	Q12919
Q763	KN	46922	Q49	Q41295
Q235	MC	38857	Q46	Q235
Q347	LI	37922	Q46	Q1844
Q238	SM	33600	Q46	Q1848
Q695	PW	21729	Q538|Q55643	Q515229
Q697	NR	13650	Q55643	Q31026
Q672	TV	10643	Q538|Q55643	Q34126
Q237	VA	882	Q46	Q237
Q141191391				
